,NVDA,,AMZN,,AMD,,CRM
Date,Close,Date,Close,Date,Close,Date,Close
1/2/2015 16:00:00,20.13,1/2/2015 16:00:00,308.52,1/2/2015 16:00:00,2.69,1/2/2015 16:00:00,59.24
1/5/2015 16:00:00,19.79,1/5/2015 16:00:00,302.19,1/5/2015 16:00:00,2.66,1/5/2015 16:00:00,58.17
1/6/2015 16:00:00,19.19,1/6/2015 16:00:00,295.29,1/6/2015 16:00:00,2.63,1/6/2015 16:00:00,57.2
1/7/2015 16:00:00,19.14,1/7/2015 16:00:00,298.42,1/7/2015 16:00:00,2.58,1/7/2015 16:00:00,56.93
1/8/2015 16:00:00,19.86,1/8/2015 16:00:00,300.46,1/8/2015 16:00:00,2.61,1/8/2015 16:00:00,58.59
1/9/2015 16:00:00,19.94,1/9/2015 16:00:00,296.93,1/9/2015 16:00:00,2.63,1/9/2015 16:00:00,58.16
1/12/2015 16:00:00,19.69,1/12/2015 16:00:00,291.41,1/12/2015 16:00:00,2.63,1/12/2015 16:00:00,57.73
1/13/2015 16:00:00,19.66,1/13/2015 16:00:00,294.74,1/13/2015 16:00:00,2.66,1/13/2015 16:00:00,57.97
1/14/2015 16:00:00,19.74,1/14/2015 16:00:00,293.27,1/14/2015 16:00:00,2.63,1/14/2015 16:00:00,57.25
1/15/2015 16:00:00,19.6,1/15/2015 16:00:00,286.95,1/15/2015 16:00:00,2.52,1/15/2015 16:00:00,55.11
1/16/2015 16:00:00,19.96,1/16/2015 16:00:00,290.74,1/16/2015 16:00:00,2.39,1/16/2015 16:00:00,56.64
1/20/2015 16:00:00,20.02,1/20/2015 16:00:00,289.44,1/20/2015 16:00:00,2.24,1/20/2015 16:00:00,57.29
1/21/2015 16:00:00,20.3,1/21/2015 16:00:00,297.25,1/21/2015 16:00:00,2.45,1/21/2015 16:00:00,57.71
1/22/2015 16:00:00,20.65,1/22/2015 16:00:00,310.32,1/22/2015 16:00:00,2.47,1/22/2015 16:00:00,58
1/23/2015 16:00:00,20.71,1/23/2015 16:00:00,312.39,1/23/2015 16:00:00,2.45,1/23/2015 16:00:00,58.62
1/26/2015 16:00:00,20.62,1/26/2015 16:00:00,309.66,1/26/2015 16:00:00,2.61,1/26/2015 16:00:00,59.78
1/27/2015 16:00:00,19.63,1/27/2015 16:00:00,306.75,1/27/2015 16:00:00,2.7,1/27/2015 16:00:00,57.79
1/28/2015 16:00:00,19.31,1/28/2015 16:00:00,303.91,1/28/2015 16:00:00,2.63,1/28/2015 16:00:00,56.35
1/29/2015 16:00:00,19.78,1/29/2015 16:00:00,311.78,1/29/2015 16:00:00,2.61,1/29/2015 16:00:00,58.1
1/30/2015 16:00:00,19.2,1/30/2015 16:00:00,354.53,1/30/2015 16:00:00,2.57,1/30/2015 16:00:00,56.45
2/2/2015 16:00:00,19.62,2/2/2015 16:00:00,364.47,2/2/2015 16:00:00,2.67,2/2/2015 16:00:00,57.28
2/3/2015 16:00:00,20.11,2/3/2015 16:00:00,363.55,2/3/2015 16:00:00,2.76,2/3/2015 16:00:00,58.61
2/4/2015 16:00:00,20.16,2/4/2015 16:00:00,364.75,2/4/2015 16:00:00,2.85,2/4/2015 16:00:00,58.99
2/5/2015 16:00:00,20.49,2/5/2015 16:00:00,373.89,2/5/2015 16:00:00,3.31,2/5/2015 16:00:00,59.26
2/6/2015 16:00:00,20.4,2/6/2015 16:00:00,374.28,2/6/2015 16:00:00,3.03,2/6/2015 16:00:00,59.17
2/9/2015 16:00:00,20.38,2/9/2015 16:00:00,370.56,2/9/2015 16:00:00,3.04,2/9/2015 16:00:00,57.98
2/10/2015 16:00:00,20.95,2/10/2015 16:00:00,373,2/10/2015 16:00:00,3.04,2/10/2015 16:00:00,58.79
2/11/2015 16:00:00,20.81,2/11/2015 16:00:00,375.14,2/11/2015 16:00:00,3.07,2/11/2015 16:00:00,58.8
2/12/2015 16:00:00,22.3,2/12/2015 16:00:00,377.17,2/12/2015 16:00:00,3.12,2/12/2015 16:00:00,61.26
2/13/2015 16:00:00,22.31,2/13/2015 16:00:00,381.83,2/13/2015 16:00:00,3.15,2/13/2015 16:00:00,62.85
2/17/2015 16:00:00,22.38,2/17/2015 16:00:00,375.43,2/17/2015 16:00:00,3.11,2/17/2015 16:00:00,62.07
2/18/2015 16:00:00,22.12,2/18/2015 16:00:00,373.37,2/18/2015 16:00:00,3.08,2/18/2015 16:00:00,63
2/19/2015 16:00:00,22.18,2/19/2015 16:00:00,379,2/19/2015 16:00:00,3.06,2/19/2015 16:00:00,62.81
2/20/2015 16:00:00,22.34,2/20/2015 16:00:00,383.66,2/20/2015 16:00:00,3.06,2/20/2015 16:00:00,63.74
2/23/2015 16:00:00,22.16,2/23/2015 16:00:00,380.14,2/23/2015 16:00:00,3.06,2/23/2015 16:00:00,62.58
2/24/2015 16:00:00,22.31,2/24/2015 16:00:00,378.59,2/24/2015 16:00:00,3.11,2/24/2015 16:00:00,61.93
2/25/2015 16:00:00,22.14,2/25/2015 16:00:00,385.37,2/25/2015 16:00:00,3.1,2/25/2015 16:00:00,62.87
2/26/2015 16:00:00,22.2,2/26/2015 16:00:00,384.8,2/26/2015 16:00:00,3.08,2/26/2015 16:00:00,70.24
2/27/2015 16:00:00,22.06,2/27/2015 16:00:00,380.16,2/27/2015 16:00:00,3.11,2/27/2015 16:00:00,69.38
3/2/2015 16:00:00,22.6,3/2/2015 16:00:00,385.66,3/2/2015 16:00:00,3.21,3/2/2015 16:00:00,68.46
3/3/2015 16:00:00,22.18,3/3/2015 16:00:00,384.61,3/3/2015 16:00:00,3.14,3/3/2015 16:00:00,66.95
3/4/2015 16:00:00,22.43,3/4/2015 16:00:00,382.72,3/4/2015 16:00:00,3.05,3/4/2015 16:00:00,64.88
3/5/2015 16:00:00,22.86,3/5/2015 16:00:00,387.83,3/5/2015 16:00:00,2.98,3/5/2015 16:00:00,65.59
3/6/2015 16:00:00,22.55,3/6/2015 16:00:00,380.09,3/6/2015 16:00:00,2.92,3/6/2015 16:00:00,64.56
3/9/2015 16:00:00,22.61,3/9/2015 16:00:00,378.56,3/9/2015 16:00:00,2.93,3/9/2015 16:00:00,65.48
3/10/2015 16:00:00,23,3/10/2015 16:00:00,369.51,3/10/2015 16:00:00,2.92,3/10/2015 16:00:00,63.76
3/11/2015 16:00:00,22.88,3/11/2015 16:00:00,366.37,3/11/2015 16:00:00,2.84,3/11/2015 16:00:00,63.68
3/12/2015 16:00:00,22.67,3/12/2015 16:00:00,374.24,3/12/2015 16:00:00,2.76,3/12/2015 16:00:00,64.95
3/13/2015 16:00:00,22.7,3/13/2015 16:00:00,370.58,3/13/2015 16:00:00,2.75,3/13/2015 16:00:00,64.6
3/16/2015 16:00:00,22.97,3/16/2015 16:00:00,373.35,3/16/2015 16:00:00,2.76,3/16/2015 16:00:00,66.43
3/17/2015 16:00:00,23.25,3/17/2015 16:00:00,371.92,3/17/2015 16:00:00,2.77,3/17/2015 16:00:00,67.55
3/18/2015 16:00:00,22.87,3/18/2015 16:00:00,375.14,3/18/2015 16:00:00,2.75,3/18/2015 16:00:00,68.55
3/19/2015 16:00:00,23.22,3/19/2015 16:00:00,373.24,3/19/2015 16:00:00,2.74,3/19/2015 16:00:00,68.88
3/20/2015 16:00:00,23.47,3/20/2015 16:00:00,378.49,3/20/2015 16:00:00,2.8,3/20/2015 16:00:00,67.69
3/23/2015 16:00:00,22.71,3/23/2015 16:00:00,375.11,3/23/2015 16:00:00,2.84,3/23/2015 16:00:00,67.66
3/24/2015 16:00:00,22.4,3/24/2015 16:00:00,374.09,3/24/2015 16:00:00,2.79,3/24/2015 16:00:00,67.37
3/25/2015 16:00:00,21.04,3/25/2015 16:00:00,370.96,3/25/2015 16:00:00,2.63,3/25/2015 16:00:00,65.78
3/26/2015 16:00:00,20.97,3/26/2015 16:00:00,367.35,3/26/2015 16:00:00,2.65,3/26/2015 16:00:00,65.99
3/27/2015 16:00:00,21.38,3/27/2015 16:00:00,370.56,3/27/2015 16:00:00,2.72,3/27/2015 16:00:00,66.55
3/30/2015 16:00:00,21.47,3/30/2015 16:00:00,374.59,3/30/2015 16:00:00,2.7,3/30/2015 16:00:00,66.85
3/31/2015 16:00:00,20.93,3/31/2015 16:00:00,372.1,3/31/2015 16:00:00,2.68,3/31/2015 16:00:00,66.81
4/1/2015 16:00:00,21.01,4/1/2015 16:00:00,370.26,4/1/2015 16:00:00,2.69,4/1/2015 16:00:00,66.08
4/2/2015 16:00:00,21.06,4/2/2015 16:00:00,372.25,4/2/2015 16:00:00,2.69,4/2/2015 16:00:00,66.68
4/6/2015 16:00:00,21.67,4/6/2015 16:00:00,377.04,4/6/2015 16:00:00,2.7,4/6/2015 16:00:00,67.94
4/7/2015 16:00:00,21.86,4/7/2015 16:00:00,374.41,4/7/2015 16:00:00,2.7,4/7/2015 16:00:00,68.2
4/8/2015 16:00:00,22.02,4/8/2015 16:00:00,381.2,4/8/2015 16:00:00,2.71,4/8/2015 16:00:00,68.21
4/9/2015 16:00:00,22.53,4/9/2015 16:00:00,383.54,4/9/2015 16:00:00,2.72,4/9/2015 16:00:00,67.74
4/10/2015 16:00:00,22.76,4/10/2015 16:00:00,382.65,4/10/2015 16:00:00,2.76,4/10/2015 16:00:00,67.64
4/13/2015 16:00:00,22.55,4/13/2015 16:00:00,382.36,4/13/2015 16:00:00,2.78,4/13/2015 16:00:00,67.08
4/14/2015 16:00:00,22.36,4/14/2015 16:00:00,385.11,4/14/2015 16:00:00,2.67,4/14/2015 16:00:00,66.91
4/15/2015 16:00:00,22.63,4/15/2015 16:00:00,383.45,4/15/2015 16:00:00,2.7,4/15/2015 16:00:00,67.21
4/16/2015 16:00:00,22.49,4/16/2015 16:00:00,386.04,4/16/2015 16:00:00,2.87,4/16/2015 16:00:00,67.91
4/17/2015 16:00:00,22.2,4/17/2015 16:00:00,375.56,4/17/2015 16:00:00,2.58,4/17/2015 16:00:00,65.81
4/20/2015 16:00:00,22.09,4/20/2015 16:00:00,389.51,4/20/2015 16:00:00,2.49,4/20/2015 16:00:00,66.9
