Date,Close,Close,Close,Close
1/2/2015,20.13,308.52,2.69,59.24
1/5/2015,19.79,302.19,2.66,58.17
1/6/2015,19.19,295.29,2.63,57.2
1/7/2015,19.14,298.42,2.58,56.93
1/8/2015,19.86,300.46,2.61,58.59
1/9/2015,19.94,296.93,2.63,58.16
1/12/2015,19.69,291.41,2.63,57.73
1/13/2015,19.66,294.74,2.66,57.97
1/14/2015,19.74,293.27,2.63,57.25
1/15/2015,19.6,286.95,2.52,55.11
1/16/2015,19.96,290.74,2.39,56.64
1/20/2015,20.02,289.44,2.24,57.29
1/21/2015,20.3,297.25,2.45,57.71
1/22/2015,20.65,310.32,2.47,58
1/23/2015,20.71,312.39,2.45,58.62
1/26/2015,20.62,309.66,2.61,59.78
1/27/2015,19.63,306.75,2.7,57.79
1/28/2015,19.31,303.91,2.63,56.35
1/29/2015,19.78,311.78,2.61,58.1
1/30/2015,19.2,354.53,2.57,56.45
2/2/2015,19.62,364.47,2.67,57.28
2/3/2015,20.11,363.55,2.76,58.61
2/4/2015,20.16,364.75,2.85,58.99
2/5/2015,20.49,373.89,3.31,59.26
2/6/2015,20.4,374.28,3.03,59.17
2/9/2015,20.38,370.56,3.04,57.98
2/10/2015,20.95,373,3.04,58.79
2/11/2015,20.81,375.14,3.07,58.8
2/12/2015,22.3,377.17,3.12,61.26
2/13/2015,22.31,381.83,3.15,62.85
2/17/2015,22.38,375.43,3.11,62.07
2/18/2015,22.12,373.37,3.08,63
2/19/2015,22.18,379,3.06,62.81
2/20/2015,22.34,383.66,3.06,63.74
2/23/2015,22.16,380.14,3.06,62.58
2/24/2015,22.31,378.59,3.11,61.93
2/25/2015,22.14,385.37,3.1,62.87
2/26/2015,22.2,384.8,3.08,70.24
2/27/2015,22.06,380.16,3.11,69.38
3/2/2015,22.6,385.66,3.21,68.46
3/3/2015,22.18,384.61,3.14,66.95
3/4/2015,22.43,382.72,3.05,64.88
3/5/2015,22.86,387.83,2.98,65.59
3/6/2015,22.55,380.09,2.92,64.56
3/9/2015,22.61,378.56,2.93,65.48
3/10/2015,23,369.51,2.92,63.76
3/11/2015,22.88,366.37,2.84,63.68
3/12/2015,22.67,374.24,2.76,64.95
3/13/2015,22.7,370.58,2.75,64.6
3/16/2015,22.97,373.35,2.76,66.43
3/17/2015,23.25,371.92,2.77,67.55
3/18/2015,22.87,375.14,2.75,68.55
3/19/2015,23.22,373.24,2.74,68.88
3/20/2015,23.47,378.49,2.8,67.69
3/23/2015,22.71,375.11,2.84,67.66
3/24/2015,22.4,374.09,2.79,67.37
3/25/2015,21.04,370.96,2.63,65.78
3/26/2015,20.97,367.35,2.65,65.99
3/27/2015,21.38,370.56,2.72,66.55
3/30/2015,21.47,374.59,2.7,66.85
3/31/2015,20.93,372.1,2.68,66.81
4/1/2015,21.01,370.26,2.69,66.08
4/2/2015,21.06,372.25,2.69,66.68
4/6/2015,21.67,377.04,2.7,67.94
4/7/2015,21.86,374.41,2.7,68.2
4/8/2015,22.02,381.2,2.71,68.21
4/9/2015,22.53,383.54,2.72,67.74
4/10/2015,22.76,382.65,2.76,67.64
4/13/2015,22.55,382.36,2.78,67.08
4/14/2015,22.36,385.11,2.67,66.91
4/15/2015,22.63,383.45,2.7,67.21
4/16/2015,22.49,386.04,2.87,67.91
4/17/2015,22.2,375.56,2.58,65.81
4/20/2015,22.09,389.51,2.49,66.9
4/21/2015,22.06,391.18,2.35,67.38
4/22/2015,22.31,389.8,2.28,67.71
4/23/2015,22.22,389.99,2.33,68.47
4/24/2015,22.03,445.1,2.3,67.83
4/27/2015,22.2,438.56,2.34,67.84
4/28/2015,22.31,429.31,2.31,66.89
4/29/2015,22.14,429.37,2.28,74.65
4/30/2015,22.2,421.78,2.26,72.82
5/1/2015,22.75,422.87,2.31,73.36
5/4/2015,22.61,423.04,2.31,71.6
5/5/2015,22.03,421.19,2.28,72.75
5/6/2015,22.1,419.1,2.29,73.79
5/7/2015,22.49,426.88,2.32,74.52
5/8/2015,20.83,433.69,2.31,72.4
